"unix_timestamp","human_timestamp","nodeID","tc1","tc2","millisSinceHeatPulse"
"1535764481","9/1/2018 1:14:41","4","22.11719","22.15625","347999"
"1535764484","9/1/2018 1:14:44","4","22.16406","22.14063","351000"
"1535764487","9/1/2018 1:14:47","4","22.15625","22.14063","354000"
"1535764490","9/1/2018 1:14:50","4","22.11719","22.07031","356999"
"1535764493","9/1/2018 1:14:53","4","22.10938","22.13281","359999"
"1535764496","9/1/2018 1:14:56","4","22.07813","22.13281","362999"
"1535764499","9/1/2018 1:14:59","4","22.21094","22.13281","366000"
"1535764502","9/1/2018 1:15:2","4","22.15625","22.15625","369000"
"1535764505","9/1/2018 1:15:5","4","22.21094","22.13281","372000"
"1535764508","9/1/2018 1:15:8","4","22.14063","22.14063","375000"
"1535764511","9/1/2018 1:15:11","4","22.13281","22.11719","378000"
"1535764514","9/1/2018 1:15:14","4","22.07813","22.07813","381000"
"1535764517","9/1/2018 1:15:17","4","22.14063","22.11719","383999"
"1535764520","9/1/2018 1:15:20","4","22.11719","22.09375","386999"
"1535764523","9/1/2018 1:15:23","4","22.15625","22.04688","390000"
"1535764526","9/1/2018 1:15:26","4","22.10938","22.07813","392999"
"1535764529","9/1/2018 1:15:29","4","22.10938","22.13281","396000"
"1535764532","9/1/2018 1:15:32","4","22.14063","22.14063","398999"
"1535764535","9/1/2018 1:15:35","4","22.13281","22.05469","401999"
"1535764538","9/1/2018 1:15:38","4","22.17969","22.20313","404999"
"1535764541","9/1/2018 1:15:41","4","22.20313","22.11719","408000"
"1535764544","9/1/2018 1:15:44","4","22.10938","22.13281","410999"
"1535764547","9/1/2018 1:15:47","4","22.07813","22.13281","413999"
"1535764550","9/1/2018 1:15:50","4","22.10938","22.14063","416999"
"1535764553","9/1/2018 1:15:53","4","22.11719","22.05469","420000"
"1535764556","9/1/2018 1:15:56","4","22.16406","22.14063","422999"
"1535764559","9/1/2018 1:15:59","4","22.11719","22.00781","425999"
"1535764562","9/1/2018 1:16:2","4","22.10938","22.09375","429000"
"1535764565","9/1/2018 1:16:5","4","22.17969","22.09375","432000"
"1535764568","9/1/2018 1:16:8","4","22.13281","22.10938","435000"
"1535764571","9/1/2018 1:16:11","4","22.07813","22.05469","438000"
"1535764574","9/1/2018 1:16:14","4","22.15625","22.05469","441000"
"1535764577","9/1/2018 1:16:17","4","22.17969","22.02344","444000"
"1535764580","9/1/2018 1:16:20","4","22.17969","22.03125","446999"
"1535764583","9/1/2018 1:16:23","4","22.09375","21.96094","449999"
"1535764586","9/1/2018 1:16:26","4","22.09375","22.02344","453000"
"1535764589","9/1/2018 1:16:29","4","22.09375","22.05469","456000"
"1535764592","9/1/2018 1:16:32","4","22.07813","22.05469","458999"
"1535764595","9/1/2018 1:16:35","4","22.09375","22.03125","462000"
"1535764598","9/1/2018 1:16:38","4","22.07031","22.09375","465000"
"1535764601","9/1/2018 1:16:41","4","22.10938","22.04688","467999"
"1535764604","9/1/2018 1:16:44","4","22.04688","22.04688","471000"
"1535764607","9/1/2018 1:16:47","4","22.05469","21.98438","473999"
"1535764610","9/1/2018 1:16:50","4","22.07813","22.02344","476999"
"1535764613","9/1/2018 1:16:53","4","22.07813","21.98438","480000"
"1535764616","9/1/2018 1:16:56","4","22.04688","21.94531","483000"
"1535764619","9/1/2018 1:16:59","4","22.10938","21.96875","485999"
"1535764622","9/1/2018 1:17:2","4","22.04688","22.00781","489000"
"1535764625","9/1/2018 1:17:5","4","22.07031","21.99219","492000"
"1535764628","9/1/2018 1:17:8","4","22.03125","22.04688","495000"
"1535764631","9/1/2018 1:17:11","4","22.05469","22.00781","497999"
"1535764634","9/1/2018 1:17:14","4","22.09375","21.99219","500999"
"1535764637","9/1/2018 1:17:17","4","22.04688","21.98438","503999"
"1535764640","9/1/2018 1:17:20","4","22.03125","21.99219","507000"
"1535764643","9/1/2018 1:17:23","4","22.04688","21.99219","510000"
"1535764646","9/1/2018 1:17:26","4","22.04688","21.9375","512999"
"1535764649","9/1/2018 1:17:29","4","21.99219","21.9375","516000"
"1535764652","9/1/2018 1:17:32","4","21.98438","22.03125","519000"
"1535764655","9/1/2018 1:17:35","4","21.96875","21.91406","521999"
"1535764658","9/1/2018 1:17:38","4","22.00781","21.875","525000"
"1535764661","9/1/2018 1:17:41","4","22.00781","21.875","528000"
"1535764664","9/1/2018 1:17:44","4","21.91406","21.9375","530999"
"1535764667","9/1/2018 1:17:47","4","22.00781","21.96875","534000"
"1535764670","9/1/2018 1:17:50","4","21.99219","21.9375","537000"
"1535764673","9/1/2018 1:17:53","4","21.91406","21.91406","540000"
"1535764676","9/1/2018 1:17:56","4","21.96094","21.92188","543000"
"1535764679","9/1/2018 1:17:59","4","21.94531","21.9375","545999"
"1535764682","9/1/2018 1:18:2","4","21.92188","21.9375","549000"
"1535764685","9/1/2018 1:18:5","4","21.94531","21.94531","551999"
"1535764688","9/1/2018 1:18:8","4","21.98438","21.94531","554999"
"1535764691","9/1/2018 1:18:11","4","21.96875","21.9375","558000"
"1535764694","9/1/2018 1:18:14","4","21.89844","21.99219","560999"
"1535764697","9/1/2018 1:18:17","4","21.96875","21.89844","563999"
"1535764700","9/1/2018 1:18:20","4","21.99219","21.94531","566999"
"1535764703","9/1/2018 1:18:23","4","21.96875","21.875","570000"
"1535764706","9/1/2018 1:18:26","4","21.96875","21.89063","572999"
"1535764709","9/1/2018 1:18:29","4","21.91406","21.89063","576000"
"1535764712","9/1/2018 1:18:32","4","21.96875","21.94531","579000"
"1535764715","9/1/2018 1:18:35","4","22.00781","21.96094","582000"
"1535764718","9/1/2018 1:18:38","4","21.99219","21.89063","584999"
"1535764721","9/1/2018 1:18:41","4","21.94531","21.91406","588000"
"1535764724","9/1/2018 1:18:44","4","21.94531","21.9375","591000"
"1535764727","9/1/2018 1:18:47","4","21.9375","21.92188","594000"
"1535764730","9/1/2018 1:18:50","4","21.94531","21.91406","596999"
"1535764733","9/1/2018 1:18:53","4","21.9375","21.84375","599999"
"1535764736","9/1/2018 1:18:56","4","21.92188","21.92188","603000"
"1535764739","9/1/2018 1:18:59","4","21.98438","21.85156","606000"
"1535764742","9/1/2018 1:19:2","4","21.875","21.89844","609000"
"1535764745","9/1/2018 1:19:5","4","22.00781","21.96094","612000"
"1535764748","9/1/2018 1:19:8","4","21.94531","21.89844","614999"
"1535764751","9/1/2018 1:19:11","4","21.96875","21.89844","618000"
"1535764754","9/1/2018 1:19:14","4","21.92188","21.91406","621000"
"1535764757","9/1/2018 1:19:17","4","21.92188","21.91406","624000"
"1535764760","9/1/2018 1:19:20","4","21.86719","21.89844","627000"
"1535764763","9/1/2018 1:19:23","4","21.96094","21.86719","630000"
"1535764766","9/1/2018 1:19:26","4","21.89844","21.89844","633000"
"1535764769","9/1/2018 1:19:29","4","21.91406","21.89844","635999"
"1535764772","9/1/2018 1:19:32","4","21.89844","21.85156","638999"
"1535764775","9/1/2018 1:19:35","4","21.9375","21.8125","642000"
"1535764778","9/1/2018 1:19:38","4","21.92188","21.86719","644999"
"1535764781","9/1/2018 1:19:41","4","21.8125","21.85156","647999"
"1535764784","9/1/2018 1:19:44","4","21.91406","21.8125","650999"
"1535764787","9/1/2018 1:19:47","4","21.8125","21.80469","654000"
"1535764790","9/1/2018 1:19:50","4","21.9375","21.76563","657000"
"1535764793","9/1/2018 1:19:53","4","21.85156","21.89844","660000"
"1535764796","9/1/2018 1:19:56","4","21.91406","21.78906","663000"
"1535764799","9/1/2018 1:19:59","4","21.85156","21.85156","665999"
"1535764802","9/1/2018 1:20:2","4","21.91406","21.74219","669000"
